id,name,age,nationality,jersey_number,foot,pos,captain,T_id,appearances,substitutions,goals,penalties,yellow_cards,red_cards
448,Kieran Dowell,23,England,10,Left,CAM,0,15,13,11,1,0,1,0
449,Dimitris Giannoulis,25,Greece,30,Left,LB,0,15,17,5,0,0,3,0
450,Ben Gibson,28,England,4,Left,CB,0,15,31,0,0,0,3,1
451,Billy Gilmour,20,Scotland,8,Right,CM,0,15,23,5,0,0,2,0
452,Angus Gunn,25,England,28,Right,GK,0,15,11,0,0,0,0,0
453,Grant Hanley,29,Scotland,5,Right,CB,1,15,36,0,1,0,4,0
454,Adam Idah,20,Republic of Ireland,35,Right,ST,0,15,8,13,1,0,0,0
455,Tim Krul,33,Netherlands,1,Left,GK,0,15,31,0,0,0,1,0
456,Pierre Lees-Melou,28,France,20,Right,CM,0,15,31,6,1,0,7,0
457,Michael McGovern,36,Northern Ireland,33,Right,GK,0,15,1,0,0,0,1,0
458,Kenny McLean,29,Scotland,23,Left,CM,0,15,32,3,3,0,4,0
459,Bali Mumba,19,England,26,Right,RB,0,15,2,1,0,0,0,0
460,Mathias Normann,25,Norway,16,Right,CDM,0,15,21,4,1,0,7,0
461,Andrew Omobamidele,19,Republic of Ireland,44,Right,CB,0,15,6,1,1,0,1,0
462,Ozan Kabak,21,Turkey,15,Right,CB,0,15,12,0,0,0,2,0
463,Przemysław Placheta,23,Poland,11,Left,LM,0,15,8,6,0,0,1,0
464,Teemu Pukki,31,Finland,22,Right,ST,0,15,38,3,11,3,5,0
465,Milot Rashica,25,Kosovo,17,Right,CF,0,15,27,8,2,0,0,0
466,Jonathan Rowe,24,Germany,46,Right,CB,0,15,0,15,0,0,0,0
467,Lukas Rupp,30,Germany,7,Right,CM,0,15,10,12,2,0,1,0
468,Josh Sargent,21,United States,24,Right,ST,0,15,20,9,4,0,2,0
469,Jacob Sörensen,23,Denmark,19,Right,LB,0,15,8,4,0,0,1,0
470,Tony Springett,18,Scotland,45,Right,ST,0,15,1,2,0,0,1,0
471,Christos Tzolis,19,Greece,18,Right,LM,0,15,6,11,2,0,0,0
472,Brandon Williams,20,England,21,Right,RB,0,15,25,4,0,0,9,0
473,Christoph Zimmermann,28,Germany,6,Right,CB,0,15,4,1,0,0,1,0
474,Che Adams,24,Scotland,10,Right,ST,0,16,24,9,8,0,0,0
475,Adam Armstrong,24,England,9,Right,ST,0,16,21,7,2,0,1,0
476,Stuart Armstrong,29,Scotland,17,Right,RM,0,16,18,12,3,0,1,0
477,Jan Bednarek,25,Poland,35,Right,CB,0,16,32,2,4,0,10,0
478,Armando Broja,19,Albania,18,Right,ST,0,16,24,14,9,0,2,0
479,Willy Caballero,26,Ecuador,13,Right,RM,0,16,4,0,0,0,1,0
480,Ibrahima Diallo,22,France,27,Right,CDM,0,16,15,15,1,0,4,0
481,Moussa Djenepo,23,Mali,19,Right,LM,0,16,8,8,0,0,4,0
482,Mohamed Elyounoussi,26,Norway,24,Right,LM,0,16,25,8,8,0,4,0
483,Fraser Forster,33,England,44,Right,GK,0,16,24,0,0,0,2,0
484,Valentino Livramento,18,England,21,Right,RB,0,16,27,5,1,0,2,0
485,Shane Long,34,Republic of Ireland,7,Right,ST,0,16,6,13,2,0,1,0
486,Lyanco,24,Germany,4,Right,CB,0,16,12,6,0,0,3,0
487,Alex McCarthy,31,England,1,Right,GK,0,16,17,0,0,0,1,0
488,Michael Obafemi,27,Israel,14,Right,CM,0,16,0,1,0,0,0,0
489,Romain Perraud,23,France,15,Left,LB,0,16,21,2,1,0,4,0
490,Nathan Redmond,27,England,11,Right,LM,0,16,23,9,3,0,0,0
491,Oriol Romeu,29,Spain,6,Right,CDM,0,16,37,5,2,0,9,0
492,Mohammed Salisu,22,Ghana,22,Left,CB,0,16,36,1,1,0,8,1
493,Thierry Small,16,England,16,Left,LB,0,16,1,0,0,0,0,0
494,Will Smallbone,21,Republic of Ireland,20,Right,CM,0,16,3,4,0,0,0,0
495,Jack Stephens,27,England,5,Right,CB,0,16,14,2,0,0,3,0
496,Nathan Tella,21,England,23,Right,LM,0,16,14,4,1,0,2,0
497,Yann Valery,22,France,43,Right,RB,0,16,9,2,0,0,1,1
